"Número"	"NCidade"	"Local"	"Idade"	"Cidade"	"Tempo"	"Bairro"	"Cor"	"Religião"	"Religião_qual"	"Estudando"	"Estudo"	"Casa"	"Qualeotipodehabitacao"	"Habit_outro"	"Habit_alug"	"Comodos"	"Trabalho"	"Recursos"	"Renda_familiar"	"Renda_div_pessoa"	"Renda_da_familia"	"Classe"	"Civil"
320	1	3	21	4	4	1	3	1	1	2	6	3	1	""	4	3	2	90	800	4	200	"Média"	"Solteira"
50	1	2	20	2	3	1	3	1	6	1	3	3	1	""	3	4	1	360	900	3	300	"estável"	"casada"
187	1	2	17	1	1	1	1	1	3	1	5	7	1	""	2	3	2	150	1395	7	199	"não sabe"	"solteira"
267	1	3	22	1	1	1	3	1	2	2	3	5	1	""	2	3	2	82	250	5	50	"Baixa"	"Solteira"
359	3	1	20	1	1	1	1	1	3	2	4	6	1	""	1	4	2	100	900	4	225	"Média"	"Solteira"
449	2	2	16	1	1	1	2	1	2	1	5	4	1	""	1	4	2	300	2500	4	625	"Média baixa"	"Solteira"
305	1	4	19	1	1	1	2	1	1	1	5	4	1	""	1	4	2	250	1200	4	300	"Não sabe"	"Solteira"
372	3	2	18	3	2	1	1	1	3	1	5	6	1	""	3	3	1	500	2900	6	483	"Média"	"Solteira"
349	3	1	20	1	1	1	2	1	1	2	6	3	1	""	1	3	1	800	2000	3	667	"Média"	"Solteira"
164	1	3	17	1	1	1	1	1	2	2	4	8	1	""	1	4	2	132	2000	8	250	"média"	"solteira"
38	1	4	19	1	1	1	1	1	1	2	6	3	1	""	1	3	1	300	900	3	300	"Pobre"	"Mora Junto"
76	1	4	21	2	4	1	2	1	2	2	6	7	1	""	2	4	2	90	2200	7	314	"pobre"	"solteira"
194	1	3	21	1	1	1	3	1	1	2	3	9	1	""	1	4	2	90	1	98	0	"não sabe"	"solteira"
210	1	3	22	1	1	1	3	1	1	2	6	3	1	""	3	3	2	300	840	3	280	"baixa"	"solteira"
367	3	2	19	2	3	1	1	1	1	2	4	3	1	""	1	3	1	700	1400	3	467	"Baixa"	"Casada"
49	1	1	18	1	1	1	3	1	2	1	5	6	1	""	3	4	1	140	560	6	93	"baixa"	"solteira"
224	3	2	20	3	3	1	3	1	2	2	5	4	1	""	1	3	2	530	650	3	217	"baixa"	"solteira"
113	1	2	20	4	4	1	1	1	2	1	6	3	1	""	1	4	2	500	800	3	267	"média baixa"	"solteira"
330	3	4	19	1	1	1	1	1	1	2	3	4	1	""	2	3	1	250	1000	4	250	"Pobre"	"União Consensual"
167	1	3	20	1	1	1	3	1	2	2	6	5	1	""	1	4	1	460	1500	5	300	"média"	"solteiro"
24	1	2	22	1	1	2	2	1	1	2	5	8	1	""	3	3	1	200	500	8	63	"abaixo da linha da pobreza"	"solteira"
214	3	4	19	2	1	1	2	1	4	1	5	3	1	""	1	3	1	600	1200	3	400	"média"	"solteira"
447	2	4	17	2	4	1	3	1	2	2	6	3	1	""	3	3	1	800	1600	3	533	"Baixa"	"Solteira"
366	3	3	19	2	4	1	1	1	1	1	5	3	1	""	4	3	1	500	900	3	300	"Média"	"Solteira"
100	1	3	19	1	1	1	1	1	1	2	5	8	1	""	1	4	2	90	800	8	100	"baixa"	"solteira"
89	1	4	21	1	1	1	3	1	2	2	6	5	2	""	1	4	1	530	650	5	130	"pobre"	"solteira"
501	2	3	19	1	1	1	2	1	2	2	5	3	1	""	4	3	2	250	1150	3	383	"Média baixa"	"Casada"
43	1	4	21	3	2	1	3	1	1	2	3	4	1	""	4	3	2	90	500	4	125	"Não soube informar"	"Casada"
127	1	2	21	1	3	1	2	1	1	2	3	3	1	""	1	3	2	200	200	3	67	"média"	"solteira"
139	1	2	22	1	1	1	3	1	1	1	5	2	1	""	3	3	1	490	530	2	265	"pobre"	"casada"
273	1	2	19	2	4	1	3	1	6	2	3	6	1	""	2	4	1	200	865	6	144	"Média"	"Solteira"
311	2	1	21	1	1	1	1	1	1	2	6	3	1	""	3	3	1	465	800	3	267	"Média"	"Amigada"
274	1	4	20	1	3	1	3	1	1	2	5	4	1	""	3	4	2	100	500	4	125	"Média"	"Solteira"
205	1	3	20	4	1	1	3	1	1	1	3	4	1	""	1	4	2	190	700	4	175	"baixa"	"solteira"
458	2	3	18	1	1	1	3	1	2	2	3	3	1	""	1	3	2	190	510	3	170	"Média"	"Casada"
220	3	4	21	1	1	1	1	1	1	2	4	6	1	""	1	4	1	700	1500	6	250	"média"	"solteira"
425	2	4	22	3	4	1	3	1	2	2	6	2	1	""	3	3	1	500	700	2	350	"Média"	"Casada"
336	3	4	19	1	1	1	3	1	2	2	3	4	1	""	3	4	1	275	600	3	200	"Baixa"	"Solteira"
409	2	2	16	1	1	1	3	1	1	1	5	3	1	""	3	3	2	22	600	3	200	"Baixa"	"Casada"
477	2	2	20	1	1	1	3	1	1	2	6	5	1	""	1	3	1	520	597	5	119	"Média"	"Solteira"
396	3	3	19	1	1	1	1	1	1	2	6	6	2	""	6	4	1	500	2000	6	333	"Média"	"Solteira"
331	3	3	19	3	2	1	1	1	1	2	6	3	1	""	2	4	1	800	2000	2	1000	"Média"	"Solteira"
37	1	4	21	1	1	1	3	1	1	2	5	3	1	""	1	3	2	190	190	3	63	"humilde"	"solteira"
108	1	4	21	1	1	1	3	1	2	2	3	2	6	"barraco"	1	3	2	90	90	2	45	"baixa"	"solteira"
258	1	3	17	1	1	1	3	1	1	1	4	5	1	""	2	4	2	100	500	5	100	"Média-baixa"	"Solteira"
195	1	2	20	1	1	1	3	1	2	1	3	3	1	""	3	3	2	90	700	3	233	"média"	"solteira"
250	2	4	19	1	1	1	3	1	2	2	5	3	1	""	3	3	1	575	1200	3	400	"baixa"	"solteira"
399	3	3	19	4	3	1	1	1	1	2	5	7	1	""	1	3	1	700	1700	7	243	"Baixa"	"Solteira"
266	1	4	20	1	4	2	3	1	2	2	6	3	1	""	3	3	1	200	500	3	167	"Baixa"	"Solteira"
126	1	4	22	1	4	1	2	1	1	1	5	3	1	""	1	3	1	518	700	3	233	"pobre"	"solteira"
531	2	4	19	1	1	1	2	1	1	2	3	3	1	""	3	3	1	1300	2700	3	900	"Nobre"	"Solteira"
368	3	4	21	1	1	1	3	1	1	2	6	6	1	""	1	4	1	650	2045	6	341	"Baixa"	"Solteira"
5	1	3	17	2	4	1	1	1	1	2	5	3	1	""	1	3	1	465	1100	2	550	"pobre"	"casada"
410	2	2	19	1	1	1	3	1	1	2	4	3	1	""	3	3	2	510	8000	3	2667	"Média"	"Casada"
30	1	3	21	2	3	2	3	1	1	2	5	2	1	""	3	3	1	550	800	2	400	"baixa"	"solteira"
173	1	2	22	1	1	1	1	1	2	2	5	4	1	""	1	3	2	90	600	4	150	"baixa"	"solteira"
271	1	4	22	1	1	1	3	1	2	2	3	3	1	""	4	4	2	112	500	4	125	"Média"	"Solteira"
363	3	1	17	1	1	1	2	1	1	2	5	4	1	""	1	3	2	150	450	4	113	"Média"	"Solteira"
332	3	3	18	1	1	1	2	1	1	1	5	6	1	""	2	4	2	100	1000	6	167	"Média"	"Solteira"
319	1	3	19	1	1	1	6	1	2	1	4	4	1	""	1	4	2	375	2600	7	371	"Pobre"	"Solteira"
